Area Code	Area Code (M49)	Area	Item Code	Item	Element Code	Element	Unit	Y2019	Y2020	Y2021	Y2022	Y2023
3	'008	Albania	22008	Gross Domestic Product	6224	Value Standard Local Currency	million SLC	1691903.429768	1647431.1	1856172.3	2138339.2	2257544.743428
3	'008	Albania	22008	Gross Domestic Product	6110	Value US$	million USD	15401.82608	15162.734468	17930.56704	18916.380686	22430.768974
3	'008	Albania	22008	Gross Domestic Product	6119	Value US$ per capita	USD	5359.239078	5288.989573	6281.046775	6655.258391	7919.241676
3	'008	Albania	22008	Gross Domestic Product	6225	Value Standard Local Currency, 2015 prices	million SLC	1633423.912176	1576554.211752	1720197.512823	1803737.613446	1844321.709748
3	'008	Albania	22008	Gross Domestic Product	6185	Value US$ per capita, 2015 prices	USD	4512.262019	4365.847635	4783.885801	5038.076094	5169.405465
3	'008	Albania	22008	Gross Domestic Product	6184	Value US$, 2015 prices	million USD	12967.713109	12516.225926	13656.606635	14319.829482	14642.025646
3	'008	Albania	22008	Gross Domestic Product	61550	Annual growth Standard Local Currency	%	3.370871	-2.628539	12.670708	15.201546	5.574678
3	'008	Albania	22008	Gross Domestic Product	61810	Annual growth Standard Local Currency, 2015 prices	%	2.087602	-3.481626	9.111218	4.856424	2.249999
3	'008	Albania	22008	Gross Domestic Product	6129	Annual growth US$	%	1.619022	-1.552359	18.254178	5.49795	18.578544
3	'008	Albania	22008	Gross Domestic Product	61290	Annual growth US$ per capita	%	1.729697	-1.310812	18.757027	5.95779	18.992249
3	'008	Albania	22008	Gross Domestic Product	6182	Annual growth US$, 2015 prices	%	2.087602	-3.481626	9.111218	4.856424	2.25
3	'008	Albania	22008	Gross Domestic Product	61820	Annual growth US$ per capita, 2015 prices	%	2.198788	-3.244812	9.575189	5.313469	2.606736
3	'008	Albania	22015	Gross Fixed Capital Formation	6224	Value Standard Local Currency	million SLC	377519.46116	373134.9	452045.9	510784.8	535835.75
3	'008	Albania	22015	Gross Fixed Capital Formation	6110	Value US$	million USD	3436.655414	3434.283479	4366.74942	4518.553336	5324.017587
3	'008	Albania	22015	Gross Fixed Capital Formation	6225	Value Standard Local Currency, 2015 prices	million SLC	375359.00258	370175.202545	441300.003033	472773.70325	484739.0625
3	'008	Albania	22015	Gross Fixed Capital Formation	6184	Value US$, 2015 prices	million USD	2979.966083	2938.81202	3503.470098	3753.339047	3848.331746
3	'008	Albania	22015	Gross Fixed Capital Formation	6103	Share of GDP US$	%	22.313298	22.6495	24.35366	23.886987	23.735332
3	'008	Albania	-9999999	Gross Fixed Capital Formation	6187	Share of GDP US$, 2015 prices	%	22.979889	23.480017	25.654031	26.21078	26.282782
3	'008	Albania	22015	Gross Fixed Capital Formation	61570	Share of GDP Standard Local Currency	%	22.313298	22.6495	24.35366	23.886987	23.735332
3	'008	Albania	22015	Gross Fixed Capital Formation	61860	Share of GDP Standard Local Currency, 2015 prices	%	22.979889	23.480017	25.654031	26.21078	26.282782
3	'008	Albania	22015	Gross Fixed Capital Formation	61550	Annual growth Standard Local Currency	%	-3.340587	-1.161414	21.148115	12.994012	4.904403
3	'008	Albania	22015	Gross Fixed Capital Formation	61810	Annual growth Standard Local Currency, 2015 prices	%	-3.56405	-1.381025	19.21382	7.132041	2.530885
3	'008	Albania	22015	Gross Fixed Capital Formation	6129	Annual growth US$	%	-4.978696	-0.069019	27.151688	3.476359	17.82571
3	'008	Albania	22015	Gross Fixed Capital Formation	6182	Annual growth US$, 2015 prices	%	-3.56405	-1.381025	19.21382	7.132041	2.530885
3	'008	Albania	22016	Value Added (Agriculture, Forestry and Fishing)	6224	Value Standard Local Currency	million SLC	311130.0	316722.0	340758.0	398219.1	422833.40625
3	'008	Albania	22016	Value Added (Agriculture, Forestry and Fishing)	6110	Value US$	million USD	2832.29531	2915.066728	3291.711747	3522.763878	4201.23609
3	'008	Albania	22016	Value Added (Agriculture, Forestry and Fishing)	6225	Value Standard Local Currency, 2015 prices	million SLC	297222.957448	301232.358223	306656.459271	306828.659305	316961.40625
